transfer_target,metric,mean_original,mean_prompt_global,t_stat,p_value
bcg→ppgbp,GAL,32.02623825073242,31.94562530517578,0.03204200849264778,0.975223606716856
bcg→ppgbp,SPDP,25.175605392456056,25.221842956542968,-0.061974751085649545,0.9521073193762469
bcg→sensors,GAL,30.31827278137207,30.443272399902344,-0.3462192454404619,0.7405425249220792
bcg→sensors,SPDP,29.006889724731444,28.09420166015625,0.7401633610208946,0.4809979437706843
mimic_ecg→vital_ecg,GAL,37.79482421875,35.284602355957034,0.780816656248809,0.4576537906601933
mimic_ecg→vital_ecg,SPDP,38.38326187133789,36.31046981811524,0.8190190834472854,0.4431845760239267
ppgbp→bcg,GAL,25.394950103759765,25.48380470275879,-0.0332541728322949,0.9742933676957318
ppgbp→bcg,SPDP,18.605713844299316,18.313964080810546,0.12039499835029624,0.9071729836873592
ppgbp→sensors,GAL,32.869292449951175,32.37853851318359,0.3215705182577342,0.7560215992215806
ppgbp→sensors,SPDP,29.25851058959961,28.423952484130858,0.3662755758675405,0.7267498513063638
sensors→bcg,GAL,26.02889404296875,26.07000274658203,-0.0168788132042127,0.986948158260911
sensors→bcg,SPDP,18.96604232788086,19.012302780151366,-0.014481740791503866,0.9888010056814479
sensors→ppgbp,GAL,32.164969253540036,32.10031356811523,0.02412680616124868,0.9813486105032113
sensors→ppgbp,SPDP,25.40573616027832,25.212625885009764,0.20456017035636923,0.843030786970916
vital_ecg→mimic_ecg,GAL,41.057377624511716,40.73588256835937,0.2206500348548642,0.8308922696415584
vital_ecg→mimic_ecg,SPDP,43.26176986694336,42.456974792480466,0.21774977735112314,0.8330884596282025
ALL,GAL,32.20685234069824,31.805255270004274,0.3077868701481865,0.759068197196027
ALL,SPDP,28.50794122219086,27.88079180717468,0.32368233489139114,0.7470469932946011
